sample_id,actual_value,individual_prediction,ensemble_prediction,individual_error,ensemble_error,individual_abs_error,ensemble_abs_error,individual_squared_error,ensemble_squared_error
37,3.63,19.809678588864518,16.707641454356427,-16.17967858886452,-13.077641454356428,16.17967858886452,13.077641454356428,261.78199923896096,171.0247060087017
38,699.54383,653.9351917758199,662.6808749605128,45.60863822418003,36.86295503948713,45.60863822418003,36.86295503948713,2080.1478806641353,1358.8774542432498
39,228.83,239.72320969526493,236.79969411890244,-10.893209695264915,-7.969694118902424,10.893209695264915,7.969694118902424,118.66201746501353,63.516024348867894
40,1338.01,1334.1097657242487,1335.5025462196054,3.900234275751245,2.5074537803945987,3.900234275751245,2.5074537803945987,15.21182740574484,6.287324460815165
41,16.9,29.147381597943163,26.380024579841905,-12.247381597943164,-9.480024579841906,12.247381597943164,9.480024579841906,149.99835600563685,89.87086603440672
42,707.80741,709.0123611739997,704.872338724206,-1.2049511739996888,2.93507127579403,1.2049511739996888,2.93507127579403,1.4519073317232283,8.614643393991194
43,4.0,9.349792521620337,8.07590844758183,-5.349792521620337,-4.0759084475818295,5.349792521620337,4.0759084475818295,28.620280024384883,16.61302967306892
44,166.536,192.51309092535513,188.3858268200372,-25.977090925355128,-21.849826820037208,25.977090925355128,21.849826820037208,674.8092529441677,477.4149320656173
45,982.0947,983.1427418174188,974.6163764518169,-1.0480418174188344,7.478323548183084,1.0480418174188344,7.478323548183084,1.0983916510585734,55.925323091309636
46,2.78,18.664688937729988,16.326047543621833,-15.884688937729988,-13.546047543621833,15.884688937729988,13.546047543621833,252.32334264844147,183.4954040540631
47,775.5052,683.8653959724401,700.0294637959223,91.63980402755988,75.47573620407763,91.63980402755988,75.47573620407763,8397.85368220958,5696.586755547515
48,492.62,516.3047616278209,517.8922450714149,-23.684761627820876,-25.272245071414886,23.684761627820876,25.272245071414886,560.9679333666962,638.686370949654
49,603.877,985.4984892264863,1004.8296030443968,-381.62148922648635,-400.9526030443968,381.62148922648635,400.9526030443968,145634.96103944123,160762.98988807766
50,505.3497,457.7746175712299,472.54450429636944,47.57508242877009,32.805195703630545,47.57508242877009,32.805195703630545,2263.388468104268,1076.1808651535
51,86.7,105.06962899013422,104.83180307438923,-18.369628990134217,-18.131803074389225,18.369628990134217,18.131803074389225,337.44326923517946,328.76228272843053
52,1830.624,1833.5284320761718,1843.0956235506274,-2.9044320761718154,-12.471623550627328,2.9044320761718154,12.471623550627328,8.435725685095722,155.5413939885622
53,273.3338,262.5025238369307,263.9451030648414,10.831276163069276,9.388696935158578,10.831276163069276,9.388696935158578,117.31654332067271,88.14763014025607
54,591.14,544.1243782408804,561.1987243499559,47.01562175911954,29.941275650044076,47.01562175911954,29.941275650044076,2210.4686893965945,896.4799875519224
55,155.7367,169.92603409894073,165.84333222448907,-14.18933409894072,-10.106632224489061,14.18933409894072,10.106632224489061,201.33720217136184,102.14401492108071
56,9.5,20.574662249901333,18.24021742556794,-11.074662249901333,-8.740217425567941,11.074662249901333,8.740217425567941,122.64814394938966,76.39140064620149
57,113.9,195.11946093659367,184.1642895714479,-81.21946093659366,-70.2642895714479,81.21946093659366,70.2642895714479,6596.600834830864,4937.070388980283
58,406.82036096,417.7507628207931,413.7236669040889,-10.930401860793097,-6.9033059440888564,10.930401860793097,6.9033059440888564,119.4736848384292,47.65563295769254
59,5252.75008249,5447.126740453149,5463.38458567982,-194.37665796314923,-210.63450318981995,194.37665796314923,210.63450318981995,37782.28516092311,44366.89393402227
60,9.6,59.027994043972996,49.48719136639759,-49.427994043972994,-39.88719136639759,49.427994043972994,39.88719136639759,2443.12659521103,1590.9880350996223
61,18.3,22.592524151123854,22.37436957372355,-4.292524151123853,-4.074369573723548,4.292524151123853,4.074369573723548,18.425763587981557,16.600487423284203
62,75.8,97.76693392739433,91.65260258559412,-21.966933927394336,-15.852602585594127,21.966933927394336,15.852602585594127,482.54618617050835,251.3050087367856
63,5288.6912,5215.781319409925,5266.378225245373,72.90988059007486,22.31297475462725,72.90988059007486,22.31297475462725,5315.850687658975,497.8688424006329
64,6.6,11.22050154009018,10.320764534093772,-4.62050154009018,-3.7207645340937727,4.62050154009018,3.7207645340937727,21.34903448197572,13.844088718170049
65,55.30242,64.6883518318129,62.90023439527764,-9.385931831812897,-7.597814395277645,9.385931831812897,7.597814395277645,88.09571635143861,57.72678358508821
66,309.56642,292.3774831706406,292.9659144863916,17.18893682935942,16.60050551360837,17.18893682935942,16.60050551360837,295.4595493237087,275.5767833073418
67,1344.4209,1266.3004635359414,1285.2755109936006,78.12043646405868,59.145389006399455,78.12043646405868,59.145389006399455,6102.80259333503,3498.1770407183176
68,2393.24790471,2453.621577400377,2453.441543132599,-60.373672690377134,-60.193638422598724,60.373672690377134,60.193638422598724,3644.9803541247898,3623.2741065505534
69,32.10083,34.44462642507485,33.925504006194984,-2.3437964250748493,-1.8246740061949822,2.3437964250748493,1.8246740061949822,5.493381682193644,3.329435228883646
70,4.76742611,28.97397153713028,24.768667206481993,-24.20654542713028,-20.001241096481994,24.20654542713028,20.001241096481994,585.9568415157219,400.04964539960025
71,25.72,43.95510925078419,38.531350838816024,-18.23510925078419,-12.811350838816026,18.23510925078419,12.811350838816026,332.51920938803516,164.13071031523208
72,2.09,28.417117637992664,23.156815106058932,-26.327117637992664,-21.066815106058932,26.327117637992664,21.066815106058932,693.1171231247044,443.8106987128728
73,0.98,16.05180463623444,13.644993361913219,-15.07180463623444,-12.664993361913218,15.07180463623444,12.664993361913218,227.15929499281793,160.4020568573059
74,647.10188,610.3238469234807,617.031018930492,36.778033076519364,30.070861069508055,36.778033076519364,30.070861069508055,1352.6237169775525,904.2566854616551
75,473.547,514.8125605969029,514.1701242441727,-41.2655605969029,-40.623124244172686,41.2655605969029,40.623124244172686,1702.8464913766654,1650.2382233574906
76,184.02357,198.17766416548176,194.3370680870868,-14.154094165481752,-10.3134980870868,14.154094165481752,10.3134980870868,200.33838164532457,106.36824279234307
77,543.47,534.9587299698516,537.9043573530395,8.511270030148467,5.565642646960555,8.511270030148467,5.565642646960555,72.44171752610347,30.97637807366609
78,918.52409623,993.9575593608581,993.1049242469475,-75.43346313085806,-74.58082801694741,75.43346313085806,74.58082801694741,5690.207359914522,5562.2999076934875
79,6356.56814,6548.2071816803955,6536.071382659028,-191.63904168039517,-179.50324265902782,191.63904168039517,179.50324265902782,36725.522296180236,32221.414125105824
80,308.29355479,285.0131737081725,295.55223478947244,23.2803810818275,12.741320000527537,23.2803810818275,12.741320000527537,541.9761433151117,162.34123535584303
81,10.6,13.24315993604826,12.759045615548246,-2.64315993604826,-2.159045615548246,2.64315993604826,2.159045615548246,6.986294447530642,4.661477970018105
82,289.22385037,329.7997527974099,323.1752732899345,-40.575902427409915,-33.951422919934544,40.575902427409915,33.951422919934544,1646.4038577986898,1152.6991182882566
83,2892.253,2359.1118003684405,2384.1149062406894,533.1411996315596,508.1380937593108,533.1411996315596,508.1380937593108,284239.53874457855,258204.32232934612
84,139.84449908,157.57148798366282,153.6439490574198,-17.72698890366283,-13.799449977419812,17.72698890366283,13.799449977419812,314.246135590585,190.42481967931164
85,6315.5682755,6220.116837069508,6241.180669178395,95.45143843049209,74.38760632160484,95.45143843049209,74.38760632160484,9110.977098450023,5533.515974258064
86,169.08556,194.0021994754325,189.66197623241808,-24.916639475432504,-20.576416232418097,24.916639475432504,20.576416232418097,620.8389227486814,423.38890496971896
